row_id,num_sold
22297,427
22298,119
22299,410
22300,739
22301,207
22302,200
22303,364
22304,101
22305,350
22306,630
22307,176
22308,329
22309,600
22310,167
22311,578
22312,1039
22313,291
22314,235
22315,427
22316,119
22317,410
22318,739
22319,207
22320,200
22321,364
22322,101
22323,350
22324,630
22325,176
22326,329
22327,600
22328,167
22329,578
22330,1039
22331,291
22332,235
22333,427
22334,119
22335,410
22336,739
22337,207
22338,200
22339,364
22340,101
22341,350
22342,630
22343,176
22344,329
22345,600
22346,167
22347,578
22348,1039
22349,291
22350,235
22351,427
22352,119
22353,410
22354,739
22355,207
22356,200
22357,364
22358,101
22359,350
22360,630
22361,176
22362,329
22363,600
22364,167
22365,578
22366,1039
22367,291
22368,235
22369,427
22370,119
22371,410
22372,739
22373,207
22374,200
22375,364
22376,101
22377,350
22378,630
22379,176
22380,329
22381,600
22382,167
22383,578
22384,1039
22385,291
22386,235
22387,427
22388,119
22389,410
22390,739
22391,207
22392,200
22393,364
22394,101
22395,350
22396,630
22397,176
22398,329
22399,600
22400,167
22401,578
22402,1039
22403,291
22404,235
22405,427
22406,119
22407,410
22408,739
22409,207
22410,200
22411,364
22412,101
22413,350
22414,630
22415,176
22416,329
22417,600
22418,167
22419,578
22420,1039
22421,291
22422,235
22423,427
22424,119
22425,410
22426,739
22427,207
22428,200
22429,364
22430,101
22431,350
22432,630
22433,176
22434,329
22435,600
22436,167
22437,578
22438,1039
22439,291
22440,235
22441,427
22442,119
22443,410
22444,739
22445,207
22446,200
22447,364
22448,101
22449,350
22450,630
22451,176
22452,329
22453,600
22454,167
22455,578
22456,1039
22457,291
22458,235
22459,427
22460,119
22461,410
22462,739
22463,207
22464,200
22465,364
22466,101
22467,350
22468,630
22469,176
22470,329
22471,600
22472,167
22473,578
22474,1039
22475,291
22476,235
22477,427
22478,119
22479,410
22480,739
22481,207
22482,200
22483,364
22484,101
22485,350
22486,630
22487,176
22488,329
22489,600
22490,167
22491,578
22492,1039
22493,291
22494,235
22495,427
22496,119
22497,410
22498,739
22499,207
22500,200
22501,364
22502,101
22503,350
22504,630
22505,176
22506,329
22507,600
22508,167
22509,578
22510,1039
22511,291
22512,235
22513,427
22514,119
22515,410
22516,739
22517,207
22518,200
22519,364
22520,101
22521,350
22522,630
22523,176
22524,329
22525,600
22526,167
22527,578
22528,1039
22529,291
22530,235
22531,427
22532,119
22533,410
22534,739
22535,207
22536,200
22537,364
22538,101
22539,350
22540,630
22541,176
22542,329
22543,600
22544,167
22545,578
22546,1039
22547,291
22548,235
22549,427
22550,119
22551,410
22552,739
22553,207
22554,200
22555,364
22556,101
22557,350
22558,630
22559,176
22560,329
22561,600
22562,167
22563,578
22564,1039
22565,291
22566,235
22567,427
22568,119
22569,410
22570,739
22571,207
22572,200
22573,364
22574,101
22575,350
22576,630
22577,176
22578,329
22579,600
22580,167
22581,578
22582,1039
22583,291
22584,235
22585,427
22586,119
22587,410
22588,739
22589,207
22590,200
22591,364
22592,101
22593,350
22594,630
22595,176
22596,329
22597,600
22598,167
22599,578
22600,1039
22601,291
22602,235
22603,427
22604,119
22605,410
22606,739
22607,207
22608,200
22609,364
22610,101
22611,350
22612,630
22613,176
22614,329
22615,600
22616,167
22617,578
22618,1039
22619,291
22620,235
22621,427
22622,119
22623,410
22624,739
22625,207
22626,200
22627,364
22628,101
22629,350
22630,630
22631,176
22632,329
22633,600
22634,167
22635,578
22636,1039
22637,291
22638,235
22639,427
22640,119
22641,410
22642,739
22643,207
22644,200
22645,364
22646,101
22647,350
22648,630
22649,176
22650,329
22651,600
22652,167
22653,578
22654,1039
22655,291
22656,235
22657,427
22658,119
22659,410
22660,739
22661,207
22662,200
22663,364
22664,101
22665,350
22666,630
22667,176
22668,329
22669,600
22670,167
22671,578
22672,1039
22673,291
22674,235
22675,427
22676,119
22677,410
22678,739
22679,207
22680,200
22681,364
22682,101
22683,350
22684,630
22685,176
22686,329
22687,600
22688,167
22689,578
22690,1039
22691,291
22692,235
22693,427
22694,119
22695,410
22696,739
22697,207
22698,200
22699,364
22700,101
22701,350
22702,630
22703,176
22704,329
22705,600
22706,167
22707,578
22708,1039
22709,291
22710,235
22711,427
22712,119
22713,410
22714,739
22715,207
22716,200
22717,364
22718,101
22719,350
22720,630
22721,176
22722,329
22723,600
22724,167
22725,578
22726,1039
22727,291
22728,235
22729,427
22730,119
22731,410
22732,739
22733,207
22734,200
22735,364
22736,101
22737,350
22738,630
22739,176
22740,329
22741,600
22742,167
22743,578
22744,1039
22745,291
22746,235
22747,427
22748,119
22749,410
22750,739
22751,207
22752,200
22753,364
22754,101
22755,350
22756,630
22757,176
22758,329
22759,600
22760,167
22761,578
22762,1039
22763,291
22764,235
22765,427
22766,119
22767,410
22768,739
22769,207
22770,200
22771,364
22772,101
22773,350
22774,630
22775,176
22776,329
22777,600
22778,167
22779,578
22780,1039
22781,291
22782,235
22783,427
22784,119
22785,410
22786,739
22787,207
22788,200
22789,364
22790,101
22791,350
22792,630
22793,176
22794,329
