row_id,num_sold
22297,423
22298,119
22299,419
22300,740
22301,178
22302,202
22303,330
22304,103
22305,372
22306,609
22307,172
22308,334
22309,611
22310,169
22311,671
22312,1059
22313,294
22314,240
22315,423
22316,119
22317,419
22318,740
22319,178
22320,202
22321,330
22322,103
22323,372
22324,609
22325,172
22326,334
22327,611
22328,169
22329,671
22330,1059
22331,294
22332,240
22333,423
22334,119
22335,419
22336,740
22337,178
22338,202
22339,330
22340,103
22341,372
22342,609
22343,172
22344,334
22345,611
22346,169
22347,671
22348,1059
22349,294
22350,240
22351,423
22352,119
22353,419
22354,740
22355,178
22356,202
22357,330
22358,103
22359,372
22360,609
22361,172
22362,334
22363,611
22364,169
22365,671
22366,1059
22367,294
22368,240
22369,423
22370,119
22371,419
22372,740
22373,178
22374,202
22375,330
22376,103
22377,372
22378,609
22379,172
22380,334
22381,611
22382,169
22383,671
22384,1059
22385,294
22386,240
22387,423
22388,119
22389,419
22390,740
22391,178
22392,202
22393,330
22394,103
22395,372
22396,609
22397,172
22398,334
22399,611
22400,169
22401,671
22402,1059
22403,294
22404,240
22405,423
22406,119
22407,419
22408,740
22409,178
22410,202
22411,330
22412,103
22413,372
22414,609
22415,172
22416,334
22417,611
22418,169
22419,671
22420,1059
22421,294
22422,240
22423,423
22424,119
22425,419
22426,740
22427,178
22428,202
22429,330
22430,103
22431,372
22432,609
22433,172
22434,334
22435,611
22436,169
22437,671
22438,1059
22439,294
22440,240
22441,423
22442,119
22443,419
22444,740
22445,178
22446,202
22447,330
22448,103
22449,372
22450,609
22451,172
22452,334
22453,611
22454,169
22455,671
22456,1059
22457,294
22458,240
22459,423
22460,119
22461,419
22462,740
22463,178
22464,202
22465,330
22466,103
22467,372
22468,609
22469,172
22470,334
22471,611
22472,169
22473,671
22474,1059
22475,294
22476,240
22477,423
22478,119
22479,419
22480,740
22481,178
22482,202
22483,330
22484,103
22485,372
22486,609
22487,172
22488,334
22489,611
22490,169
22491,671
22492,1059
22493,294
22494,240
22495,423
22496,119
22497,419
22498,740
22499,178
22500,202
22501,330
22502,103
22503,372
22504,609
22505,172
22506,334
22507,611
22508,169
22509,671
22510,1059
22511,294
22512,240
22513,423
22514,119
22515,419
22516,740
22517,178
22518,202
22519,330
22520,103
22521,372
22522,609
22523,172
22524,334
22525,611
22526,169
22527,671
22528,1059
22529,294
22530,240
22531,423
22532,119
22533,419
22534,740
22535,178
22536,202
22537,330
22538,103
22539,372
22540,609
22541,172
22542,334
22543,611
22544,169
22545,671
22546,1059
22547,294
22548,240
22549,423
22550,119
22551,419
22552,740
22553,178
22554,202
22555,330
22556,103
22557,372
22558,609
22559,172
22560,334
22561,611
22562,169
22563,671
22564,1059
22565,294
22566,240
22567,423
22568,119
22569,419
22570,740
22571,178
22572,202
22573,330
22574,103
22575,372
22576,609
22577,172
22578,334
22579,611
22580,169
22581,671
22582,1059
22583,294
22584,240
22585,423
22586,119
22587,419
22588,740
22589,178
22590,202
22591,330
22592,103
22593,372
22594,609
22595,172
22596,334
22597,611
22598,169
22599,671
22600,1059
22601,294
22602,240
22603,423
22604,119
22605,419
22606,740
22607,178
22608,202
22609,330
22610,103
22611,372
22612,609
22613,172
22614,334
22615,611
22616,169
22617,671
22618,1059
22619,294
22620,240
22621,423
22622,119
22623,419
22624,740
22625,178
22626,202
22627,330
22628,103
22629,372
22630,609
22631,172
22632,334
22633,611
22634,169
22635,671
22636,1059
22637,294
22638,240
22639,423
22640,119
22641,419
22642,740
22643,178
22644,202
22645,330
22646,103
22647,372
22648,609
22649,172
22650,334
22651,611
22652,169
22653,671
22654,1059
22655,294
22656,240
22657,423
22658,119
22659,419
22660,740
22661,178
22662,202
22663,330
22664,103
22665,372
22666,609
22667,172
22668,334
22669,611
22670,169
22671,671
22672,1059
22673,294
22674,240
22675,423
22676,119
22677,419
22678,740
22679,178
22680,202
22681,330
22682,103
22683,372
22684,609
22685,172
22686,334
22687,611
22688,169
22689,671
22690,1059
22691,294
22692,240
22693,423
22694,119
22695,419
22696,740
22697,178
22698,202
22699,330
22700,103
22701,372
22702,609
22703,172
22704,334
22705,611
22706,169
22707,671
22708,1059
22709,294
22710,240
22711,423
22712,119
22713,419
22714,740
22715,178
22716,202
22717,330
22718,103
22719,372
22720,609
22721,172
22722,334
22723,611
22724,169
22725,671
22726,1059
22727,294
22728,240
22729,423
22730,119
22731,419
22732,740
22733,178
22734,202
22735,330
22736,103
22737,372
22738,609
22739,172
22740,334
22741,611
22742,169
22743,671
22744,1059
22745,294
22746,240
22747,423
22748,119
22749,419
22750,740
22751,178
22752,202
22753,330
22754,103
22755,372
22756,609
22757,172
22758,334
22759,611
22760,169
22761,671
22762,1059
22763,294
22764,240
22765,423
22766,119
22767,419
22768,740
22769,178
22770,202
22771,330
22772,103
22773,372
22774,609
22775,172
22776,334
22777,611
22778,169
22779,671
22780,1059
22781,294
22782,240
22783,423
22784,119
22785,419
22786,740
22787,178
22788,202
22789,330
22790,103
22791,372
22792,609
22793,172
22794,334
22795,611
22796,169
22797,671
22798,1059
22799,294
22800,240
22801,423
22802,119
22803,419
22804,740
22805,178
22806,202
22807,330
22808,103
22809,372
22810,609
22811,172
22812,334
22813,611
22814,169
22815,671
22816,1059
22817,294
22818,240
22819,423
22820,119
22821,419
22822,740
22823,178
22824,202
22825,330
22826,103
22827,372
22828,609
22829,172
22830,334
22831,611
22832,169
22833,671
22834,1059
22835,294
22836,240
22837,423
22838,119
22839,419
22840,740
22841,178
22842,202
22843,330
22844,103
22845,372
22846,609
22847,172
22848,334
22849,611
22850,169
22851,671
22852,1059
22853,294
22854,240
22855,423
22856,119
22857,419
22858,740
22859,178
22860,202
22861,330
22862,103
22863,372
22864,609
22865,172
22866,334
22867,611
22868,169
22869,671
22870,1059
22871,294
22872,240
22873,423
22874,119
22875,419
22876,740
22877,178
22878,202
22879,330
22880,103
22881,372
22882,609
22883,172
22884,334
22885,611
22886,169
22887,671
22888,1059
22889,294
22890,240
22891,423
22892,119
